Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Block_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,4,2,128,off,asynchronous,1000,32,25.1672,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,449
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,4,2,256,off,asynchronous,1000,32,25.3299,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,465
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,8,2,32,off,asynchronous,1000,32,17.8463,100000,9239394,0,3,0,5,0,73,3,9239398,9239391,492
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,8,2,64,off,asynchronous,1000,32,19.369,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,477
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,8,2,128,off,asynchronous,1000,32,18.0726,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,483
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,8,2,256,off,asynchronous,1000,32,17.7525,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,488
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,4,4,32,off,asynchronous,1000,32,23.3282,100000,9239392,0,1,0,1,0,5,1,9239392,9239391,494
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,4,4,64,off,asynchronous,1000,32,22.1303,100000,9239573,0,183,0,56,1,749,183,9239569,9239390,540
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,4,4,128,off,asynchronous,1000,32,21.1398,100000,9239401,0,10,0,8,0,168,10,9239412,9239391,498
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,4,4,256,off,asynchronous,1000,32,22.1727,100000,9239462,0,71,0,26,0,445,71,9239486,9239391,531
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,8,4,32,off,asynchronous,1000,32,13.8068,100000,9239435,0,45,0,21,0,295,45,9239437,9239390,556
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,8,4,64,off,asynchronous,1000,32,12.893,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,528
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,8,4,128,off,asynchronous,1000,32,13.3099,100000,9239448,0,57,0,27,0,539,57,9239461,9239391,553
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,8,4,256,off,asynchronous,1000,32,14.2683,100000,9239662,0,276,0,77,0,1005,276,9239676,9239386,561
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,16,1,32,off,asynchronous,1000,32,37.1819,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,423
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,16,1,64,off,asynchronous,1000,32,37.7455,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,417
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,16,1,128,off,asynchronous,1000,32,32.722,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,429
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,16,1,256,off,asynchronous,1000,32,31.2477,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,431
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,32,1,32,off,asynchronous,1000,32,32.7971,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,431
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,32,1,64,off,asynchronous,1000,32,32.2134,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,432
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,32,1,128,off,asynchronous,1000,32,38.7629,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,430
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,32,1,256,off,asynchronous,1000,32,33.3615,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,441
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,64,1,32,off,asynchronous,1000,32,37.1501,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,429
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,64,1,64,off,asynchronous,1000,32,41.0399,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,426
